HHID;HV201;HV202;HV201A;HV201B;HV204;HV205;HV206;HV207;HV208;HV209;HV210;HV211;HV212;HV213;HV214;HV215;HV216;HV217;HV218;HV219;HV220;HV221;HV222;HV223;HV225;HV226;HV227;HV228;HV230A;HV230B;HV232;HV232B;HV232C;HV232D;HV232E;HV232Y;HV234;HV234A;HV235;HV236A;HV237;HV237A;HV237B;HV237C;HV237D;HV237E;HV237F;HV237G;HV237H;HV237I;HV237J;HV237K;HV237X;HV237Z;HV238;HV238A;HV239;HV240;HV241;HV242;HV243A;HV243B;HV243C;HV243D;HV243E;HV244;HV245;HV246;HV246A;HV246B;HV246C;HV246D;HV246E;HV246F;HV246G;HV246H;HV246I;HV246J;HV246K;HV247;HV252;HV253;HV253A;HV253B;HV253C;HV253D;HV253E;HV253F;HV253G;HV253H;HV253X;HV253Z;HV255;HV256;HV257;HV259;HV260;HV261;HV262;HV263;HV270;HV271;HV270A;HV271A;HML1;HML1A;HML2
       2  20;12;  ; ;1;996;52;1;0;1;1;0;1;0;33;32;31; 4;2; 1;2;32;0; 8; 5;0;10;1;1;2;0;0;0; ; ; ;1;   ;1; ;  ;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ;1; ;0;2; ;1;0;0;0;1;0;   ;0; 0; 0; 0; 0; 0; 0; 0;  ;  ;  ;  ;1;0; ; ; ; ; ; ; ; ; ; ; ;0; ; ; 6; ;10; 1;1;5;  121289;4;   42129; 3;3; 2
       2  25;12;  ; ;1;996;21;1;0;1;1;0;1;0;33;32;31; 4;4; 1;2;52;0; 8; 5;0;10;1; ;4; ; ; ; ; ; ; ;   ;0; ;  ;1;0;0;0;0;0;0;1; ; ; ; ;0;0;  ;2; ;0;3; ;1;0;0;0;0;0;   ;0; 0; 0; 0; 0; 0; 0; 0;  ;  ;  ;  ;1;0; ; ; ; ; ; ; ; ; ; ; ;0; ; ;95; ;95; 1;1;5;  118929;4;   39382; 4;4; 0
       2  30;12;  ; ;0;996;22;1;1;1;1;0;1;0;33;32;31; 2;2; 1;1;32;0; 8; 5;1;10;1; ;5; ; ; ; ; ; ; ;   ;1; ;  ;1;0;0;0;0;0;0;1; ; ; ; ;0;0; 2;2; ;0;2; ;1;0;0;0;1;0;   ;0; 0; 0; 0; 0; 0; 0; 0;  ;  ;  ;  ;1;0; ; ; ; ; ; ; ; ; ; ; ;0; ; ;95; ;95; 1;1;5;  142446;4;   66757; 2;2; 0
       2  35;12;  ; ;0;996;21;1;0;1;1;0;0;0;33;31;31; 2;4; 1;1;72;0; 8; 5;0;10;1; ;1;1;1;0; ; ; ;0;   ;1; ;  ;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ;1; ;1;1;1;1;0;0;0;0;0;   ;0; 0; 0; 0; 0; 0; 0; 0;  ;  ;  ;  ;1;0; ; ; ; ; ; ; ; ; ; ; ;0; ; ; 5;0; 1; 1;1;5;  132594;4;   55288; 2;2; 0
       2  40;12;  ; ;0;996;22;1;1;1;0;0;0;0;33;33;31; 4;4; 1;1;64;0; 8; 5;0;10;1; ;1;1;1;0; ; ; ;0;   ;1; ;  ;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ;2; ;0;2; ;1;1;0;0;0;0;   ;1; 0; 0; 0; 0; 0;26; 0;  ;  ;  ;  ;1;0; ; ; ; ; ; ; ; ; ; ; ;0; ; ;95; ;95; 1;1;5;  117155;4;   37317; 3;3; 0
       2  45;12;  ; ;1;996;21;1;0;1;0;0;0;1;34;31;31; 3;5; 1;1;58;0; 8; 5;0;10;1; ;2;1;1;0; ; ; ;0;   ;0; ;  ;1;0;0;0;0;0;0;1; ; ; ; ;0;0;  ;2; ;0;2; ;1;0;0;0;1;1; 50;0; 0; 0; 0; 0; 0; 0; 0;  ;  ;  ;  ;1;0; ; ; ; ; ; ; ; ; ; ; ;0; ; ;95; ;95; 1;1;5;  151179;4;   76923; 3;3; 0
       2  50;12;  ; ;0;996;52;1;0;1;1;0;1;0;33;31;31; 4;4; 1;2;39;0; 8; 5;0;10;1;1;1;1;1;0; ; ; ;0;   ;1; ;  ;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ;1; ;0;3; ;1;1;0;0;1;0;   ;0; 0; 0; 0; 0; 0; 0; 0;  ;  ;  ;  ;1;1; ; ; ; ; ; ; ; ; ; ; ;0; ; ;95; ;95; 1;1;5;  178332;5;  108530; 1;1; 1
       2  60;32;  ; ;1;  2;23;1;0;0;0;1;0;0;11;33;22; 2;2; 1;1;98;0; 8; 5;0;10;1;1;2;1;0;0; ; ; ;1;   ;1;3; 3;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ;2; ;0;1;0;1;0;0;0;0;0;   ;0; 0; 0; 0; 0; 0; 0; 0;  ;  ;  ;  ;0;1; ; ; ; ; ; ; ; ; ; ; ;0; ; ;95; ;95; 1;1;4;   -8069;1; -108450; 2;2; 1
       2  65;31;  ; ;0;996;52;1;0;1;1;0;1;1;33;31;31; 3;4; 1;1;46;0; 8; 5;0;10;1;1;1;1;1;0; ; ; ;0;   ;1;2;  ;1;0;0;0;0;0;0;1; ; ; ; ;0;0;  ;2; ;0;3; ;1;0;0;0;1;0;   ;0; 0; 0; 0; 0; 0; 0; 0;  ;  ;  ;  ;1;0; ; ; ; ; ; ; ; ; ; ; ;0; ; ;95; ;95; 1;1;5;  158160;5;   85048; 3;3; 1
       2  70;31;  ; ;0;996;23;1;0;0;0;0;0;0;11;22;12; 5;4; 1;2;60;0; 8; 5;0;10;1;1;2;0;0;0; ; ; ;1;   ;1;2;  ;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ;2; ;0;3; ;1;0;0;0;0;0;   ;0; 0; 0; 0; 0; 0; 0; 0;  ;  ;  ;  ;1;0; ; ; ; ; ; ; ; ; ; ; ;0; ; ; 6; ;10; 1;1;4;   -5803;1; -105812; 3;3; 1
