HHID;HV000;HV001;HV002;HV003;HV004;HV005;HV006;HV007;HV008;HV008A;HV009;HV010;HV011;HV012;HV013;HV014;HV015;HV016;HV017;HV018;HV019;HV020;HV021;HV022;HV023;HV024;HV025;HV026;HV027;HV028;HV030;HV031;HV032;HV035;HV040;HV041;HV042;HV044;HV045A;HV045B;HV045C;HV046;HV047;HV048;HV801;HV802;HV803;HV804;HV807D;HV807M;HV807Y;HV807C;HV807A
       2  65;MZ8;     2;    65;  1;   2;  680187; 8;2022;1472;44775; 5; 2; 2; 5; 5; 1;1; 2;1;  102;   ;0;   2;   1;   1; 1;1; ;1;  681697;  100;     ;   ; 1;1364; 2;1;1;  2;  2;  2;0;    1;     ;1420;1444;24;1; 3; 8;2022;1472;44776
       2  70;MZ8;     2;    70;  2;   2;  680187; 8;2022;1472;44776; 9; 1; 0; 9; 8; 1;1; 3;1;  103;   ;0;   2;   1;   1; 1;1; ;0;       0;  100;     ;   ; 0;1364; 0;0;1;  2;  2;  2;0;    1;     ;1254;1324;30; ;  ;  ;    ;    ;     
       2  75;MZ8;     2;    75;  1;   2;  680187; 8;2022;1472;44776;10; 3; 1;10;10; 1;1; 3;1;  103;   ;0;   2;   1;   1; 1;1; ;1;  681697;  100;     ;   ; 0;1364; 0;0;1;  2;  2;  2;0;    1;     ; 811; 836;25; ;  ;  ;    ;    ;     
       2  80;MZ8;     2;    80; 10;   2;  680187; 8;2022;1472;44775;10; 0; 0;10;10; 0;1; 2;1;  101;   ;0;   2;   1;   1; 1;1; ;0;       0;  100;     ;   ; 0;1364; 0;1;0;  2;  2;  2;0;    1;     ;1144;1247;63; ;  ;  ;    ;    ;     
       2  85;MZ8;     2;    85;  1;   2;  680187; 8;2022;1472;44776; 6; 3; 0; 6; 5; 0;1; 3;1;  101;   ;0;   2;   1;   1; 1;1; ;1;  681697;  100;     ;   ; 0;1364; 0;0;0;  2;  2;  2;0;    1;     ;1531;1603;32; ;  ;  ;    ;    ;     
       2  90;MZ8;     2;    90;  1;   2;  680187; 8;2022;1472;44775; 6; 1; 0; 6; 6; 1;1; 2;1;  103;   ;0;   2;   1;   1; 1;1; ;0;       0;  100;     ;   ; 1;1364; 1;1;1;  2;  2;  2;0;    1;     ; 923; 952;29;1; 2; 8;2022;1472;44775
       2  95;MZ8;     2;    95; 15;   2;  680187; 8;2022;1472;44775;15; 3; 4;15;14; 3;1; 2;1;  103;   ;0;   2;   1;   1; 1;1; ;1;  681697;  100;     ;   ; 3;1364; 4;1;1;  2;  2;  2;0;    1;     ;1452;1522;30;1; 3; 8;2022;1472;44776
       2 100;MZ8;     2;   100;  1;   2;  680187; 8;2022;1472;44776;17; 3; 0;17;17; 4;1; 3;1;  103;   ;0;   2;   1;   1; 1;1; ;0;       0;  100;     ;   ; 0;1364; 0;0;1;  2;  2;  2;0;    1;     ; 932;1006;34; ;  ;  ;    ;    ;     
       2 105;MZ8;     2;   105;  2;   2;  680187; 8;2022;1472;44775;10; 4; 2;10;10; 4;1; 2;1;  103;   ;0;   2;   1;   1; 1;1; ;1;  681697;  100;     ;   ; 4;1364; 4;1;1;  2;  2;  2;0;    1;     ;1206;1237;31;1; 2; 8;2022;1472;44775
       2 110;MZ8;     2;   110;  0;   2;       0; 8;2022;1472;44778; 0; 0; 0; 0; 0; 0;2; 5;1;  104;   ;0;   2;   1;   1; 1;1; ;0;       0;  100;     ;   ; 0;1364; 0;1;0;   ;   ;   ; ;    1;     ;    ;    ;  ; ;  ;  ;    ;    ;     
