HHID;CASEID;V801;V802;V803;V804;V805;V806;V811;V812;V813;V814;V815A;V815B;V815C
     163  23;     163  23 04;1942;1954;12;1;  402;  ;0;0;0;0;0;0;0
     163  30;     163  30 02;1614;2006;95;1;  401;  ;0;0;0;0;0;0;0
     163  44;     163  44 02;1356;1356;96;2;  401;  ;0;0;0;0;0;0;0
     163  65;     163  65 01; 656; 735;39;1;  401;  ;0;0;0;0;0;0;0
     163  73;     163  73 01;2033;2033;96;4;  401;  ;0;0;0;0;0;0;0
     163  80;     163  80 02;1348;1302;96;2;  401;  ;0;0;0;0;0;0;0
     163  87;     163  87 02;1525;1525;96;2;  401;  ;0;0;0;0;0;0;0
     163  94;     163  94 02;1524;1548;24;1;  401;  ;0;0;0;0;0;0;0
     163 108;     163 108 01; 548; 611;23;1;  401;  ;0;0;0;0;0;0;0
     163 122;     163 122 01;1229;1228;96;3;  401;  ;0;0;0;0;0;0;0
     163 129;     163 129 02;1437;1536;59;1;  402;  ;2;2;2;2;0;0;0
     163 151;     163 151 03;1313;1326;13;1;  402;  ;0;0;0;0;0;0;0
     163 158;     163 158 01;1234;1304;30;1;  402;  ;0;0;0;0;0;0;0
     163 165;     163 165 02;1344;1400;16;1;  402;  ;0;0;0;0;0;0;0
     163 179;     163 179 01;1557;1632;35;1;  402;  ;0;0;0;0;0;0;0
     163 179;     163 179 03;1152;1122;96;3;  402;  ;0;0;0;0;0;0;0
     164   4;     164   4 02;1255;1324;96;2;  406;  ;0;0;0;0;0;0;0
     164  13;     164  13 02;1008;1041;33;1;  405;  ;0;0;0;0;0;0;0
     164  21;     164  21 01; 935; 955;20;1;  403;  ;0;0;0;0;0;0;0
     164  25;     164  25 01;1853;1920;96;2;  406;  ;0;0;0;0;0;0;0
     164  30;     164  30 02;1211;1158;96;2;  403;  ;0;0;0;0;0;0;0
     164  34;     164  34 01;1536;1602;26;1;  406;  ;0;0;0;0;0;0;0
     164  38;     164  38 02; 809; 832;23;1;  403;  ;0;0;0;0;0;0;0
     164  42;     164  42 02; 823; 928;65;1;  406;  ;0;0;0;0;0;0;0
     164  63;     164  63 01;1321;1340;19;1;  405;  ;0;0;0;0;0;0;0
     164  84;     164  84 01;1602;1615;13;1;  403;  ;0;0;0;0;0;0;0
     164  84;     164  84 02;1623;1629; 6;1;  403;  ;0;0;0;0;0;0;0
