MCASEID;MV301;MV302;MREC31_GROUP_01;MREC31_GROUP_02;MREC31_GROUP_03;MREC31_GROUP_04;MREC31_GROUP_05;MREC31_GROUP_06;MREC31_GROUP_07;MREC31_GROUP_08;MREC31_GROUP_09;MREC31_GROUP_10;MREC31_GROUP_11;MREC31_GROUP_12;MREC31_GROUP_13;MREC31_GROUP_14;MREC31_GROUP_15;MREC31_GROUP_16;MREC31_GROUP_17;MREC31_GROUP_18;MREC31_GROUP_19;MREC31_GROUP_20
     101  26  1;3; ;11 0;10  ;11 0;18  ;11 0;11 0;11 0;20  ;20  ;30  ;11 0;28  ;10  ;10  ;18  ;10  ;10  ;10  ;38  ;38  
     102   4  1;3; ;11 0;11 0;11 1;18  ;11 0;11 0;11 0;21 0;21 0;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
     102   6  1;3; ;11 0;10  ;11 0;18  ;11 0;11 0;10  ;21 0;21 0;30  ;11 0;28  ;10  ;10  ;18  ;10  ;10  ;10  ;38  ;38  
     102  10  1;3; ;11 0;10  ;11 0;18  ;11 0;10  ;10  ;21 0;21 0;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;11 0;38  ;38  
     102  12  1;3; ;11 0;10  ;11 0;18  ;11 0;11 0;11 0;21 0;20  ;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
     102  12  6;3; ;11 0;11 0;11 0;18  ;11 0;10  ;11 0;20  ;20  ;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
     102  16  1;3; ;11 0;11 0;11 0;18  ;11 0;10  ;10  ;21 0;20  ;30  ;11 0;28  ;11 0;11 0;18  ;10  ;10  ;10  ;38  ;38  
     102  18  1;3; ;11 0;11 0;11 0;18  ;11 0;11 0;10  ;21 0;21 0;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
     102  20  1;3; ;11 0;10  ;11 0;18  ;11 0;10  ;10  ;21 0;20  ;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
     102  26  1;0; ;10  ;10  ;10  ;18  ;10  ;10  ;10  ;20  ;20  ;30  ;10  ;28  ;10  ;10  ;18  ;10  ;10  ;10  ;38  ;38  
     103   3  1;3; ;11 0;11 0;11 0;18  ;11 0;11 0;11 0;21 0;21 0;30  ;11 0;28  ;11 0;11 0;18  ;11 0;10  ;11 0;38  ;38  
     103   5  2;3; ;11 0;10  ;11 0;18  ;11 0;10  ;10  ;20  ;20  ;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;11 0;38  ;38  
     103  13  1;3; ;11 0;10  ;11 0;18  ;11 0;10  ;10  ;21 0;20  ;30  ;10  ;28  ;11 0;10  ;18  ;11 0;10  ;10  ;38  ;38  
     103  15  1;3; ;11 0;11 0;11 0;18  ;11 0;11 0;11 0;21 0;20  ;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;11 0;38  ;38  
     103  19  4;3; ;11 0;10  ;11 0;18  ;11 0;11 0;11 0;20  ;20  ;30  ;11 0;28  ;10  ;10  ;18  ;10  ;10  ;10  ;38  ;38  
     103  23  1;3; ;11 0;11 0;11 1;18  ;11 1;11 0;11 0;21 0;21 0;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;11 0;38  ;38  
     103  25  2;3; ;11 0;10  ;11 0;18  ;11 0;10  ;10  ;21 0;21 0;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
     104   3  1;3; ;11 0;10  ;11 0;18  ;11 0;11 0;11 0;20  ;20  ;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
     104   3  6;3; ;11 0;10  ;11 0;18  ;11 0;10  ;10  ;20  ;20  ;30  ;11 0;28  ;10  ;10  ;18  ;10  ;10  ;10  ;38  ;38  
     104   7  1;3; ;11 0;10  ;11 0;18  ;11 0;11 0;10  ;20  ;20  ;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
     104   9  2;0; ;10  ;10  ;10  ;18  ;10  ;10  ;10  ;20  ;20  ;30  ;10  ;28  ;10  ;10  ;18  ;10  ;10  ;10  ;38  ;38  
     104  11  1;3; ;11 0;10  ;11 0;18  ;11 0;10  ;10  ;20  ;20  ;30  ;10  ;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
     104  13  1;3; ;11 0;10  ;10  ;18  ;11 0;10  ;10  ;20  ;21 0;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
     104  15  1;3; ;11 0;10  ;10  ;18  ;11 0;10  ;10  ;20  ;20  ;30  ;11 0;28  ;11 0;11 0;18  ;11 0;10  ;11 0;38  ;38  
     104  17  1;0; ;10  ;10  ;10  ;18  ;10  ;10  ;10  ;20  ;20  ;30  ;10  ;28  ;10  ;10  ;18  ;10  ;10  ;10  ;38  ;38  
     104  19  1;3; ;11 0;11 0;11 0;18  ;11 0;11 0;11 0;20  ;21 0;30  ;11 0;28  ;10  ;11 0;18  ;11 0;10  ;10  ;38  ;38  
     104  21  1;3; ;11 0;11 0;11 0;18  ;11 0;10  ;10  ;20  ;20  ;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
     104  23  1;3; ;11 0;11 0;11 0;18  ;11 0;11 0;10  ;20  ;20  ;30  ;11 0;28  ;10  ;11 0;18  ;11 0;10  ;10  ;38  ;38  
     104  25  1;3; ;11 0;10  ;11 0;18  ;11 0;10  ;10  ;20  ;20  ;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
     105   2  2;3; ;11 0;10  ;11 0;18  ;11 0;10  ;10  ;21 0;20  ;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
     105   4  1;3; ;11 0;10  ;11 0;18  ;11 0;10  ;10  ;21 0;20  ;30  ;11 0;28  ;11 0;10  ;18  ;10  ;10  ;10  ;38  ;38  
     105   6  1;3; ;11 0;11 0;11 0;18  ;11 0;11 0;11 0;21 0;20  ;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
     105   8  1;3; ;11 0;10  ;11 0;18  ;11 0;10  ;10  ;21 0;20  ;30  ;11 0;28  ;11 0;11 0;18  ;10  ;10  ;10  ;38  ;38  
     105  10  1;3; ;11 0;10  ;11 0;18  ;11 0;10  ;10  ;20  ;20  ;30  ;11 0;28  ;10  ;10  ;18  ;10  ;10  ;10  ;38  ;38  
     105  12  1;3; ;11 0;11 0;11 0;18  ;11 0;11 0;10  ;20  ;21 0;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
     105  22  5;3; ;11 0;11 0;10  ;18  ;11 0;10  ;10  ;20  ;20  ;30  ;11 0;28  ;10  ;10  ;18  ;10  ;10  ;10  ;38  ;38  
     106   1  1;3; ;11 0;11 0;11 0;18  ;11 0;11 0;10  ;21 0;20  ;30  ;10  ;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
     106   3  1;3; ;11 0;11 0;11 0;18  ;11 0;11 0;11 0;20  ;20  ;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
     106   5  1;0; ;10  ;10  ;10  ;18  ;10  ;10  ;10  ;20  ;20  ;30  ;10  ;28  ;10  ;10  ;18  ;10  ;10  ;10  ;38  ;38  
     106   9  1;0; ;10  ;10  ;10  ;18  ;10  ;10  ;10  ;20  ;20  ;30  ;10  ;28  ;10  ;10  ;18  ;10  ;10  ;10  ;38  ;38  
     106  13  1;3; ;11 0;10  ;11 0;18  ;11 0;10  ;10  ;20  ;20  ;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
     106  15  1;3; ;11 0;10  ;11 0;18  ;10  ;11 0;11 0;20  ;20  ;30  ;10  ;28  ;10  ;10  ;18  ;10  ;10  ;10  ;38  ;38  
     106  19  1;0; ;10  ;10  ;10  ;18  ;10  ;10  ;10  ;20  ;20  ;30  ;10  ;28  ;10  ;10  ;18  ;10  ;10  ;10  ;38  ;38  
     106  21  1;3; ;11 0;10  ;11 0;18  ;11 0;10  ;10  ;20  ;21 0;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
     106  23  1;0; ;10  ;10  ;10  ;18  ;10  ;10  ;10  ;20  ;20  ;30  ;10  ;28  ;10  ;10  ;18  ;10  ;10  ;10  ;38  ;38  
     106  25  1;3; ;10  ;10  ;11 0;18  ;10  ;10  ;10  ;20  ;20  ;30  ;11 0;28  ;10  ;10  ;18  ;10  ;10  ;11 0;38  ;38  
     107   3  1;3; ;11 0;10  ;11 0;18  ;11 0;10  ;10  ;20  ;20  ;30  ;11 0;28  ;10  ;10  ;18  ;10  ;10  ;10  ;38  ;38  
     107   5  1;3; ;11 0;10  ;11 0;18  ;11 0;10  ;10  ;20  ;20  ;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
     107   7  1;3; ;11 0;10  ;11 0;18  ;11 0;10  ;10  ;20  ;20  ;30  ;11 0;28  ;10  ;10  ;18  ;10  ;10  ;10  ;38  ;38  
     107   9  1;3; ;10  ;10  ;11 0;18  ;10  ;10  ;10  ;20  ;20  ;30  ;10  ;28  ;10  ;10  ;18  ;10  ;10  ;10  ;38  ;38  
     107  11  1;3; ;11 0;11 0;11 0;18  ;11 0;11 0;11 0;21 0;21 0;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
     107  11  7;3; ;11 0;11 0;11 0;18  ;11 0;11 0;11 0;20  ;21 0;30  ;11 0;28  ;10  ;10  ;18  ;10  ;10  ;10  ;38  ;38  
     107  13  1;3; ;11 0;11 0;11 0;18  ;11 0;10  ;10  ;20  ;20  ;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
     107  15  1;3; ;10  ;10  ;10  ;18  ;11 0;10  ;10  ;20  ;20  ;30  ;10  ;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
     107  19  1;3; ;11 0;10  ;11 1;18  ;11 0;11 0;10  ;21 0;21 0;30  ;10  ;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
     108   2  1;3; ;11 0;10  ;10  ;18  ;11 0;10  ;10  ;20  ;20  ;30  ;11 0;28  ;10  ;10  ;18  ;11 0;10  ;11 0;38  ;38  
     108   4  1;0; ;10  ;10  ;10  ;18  ;10  ;10  ;10  ;20  ;20  ;30  ;10  ;28  ;10  ;10  ;18  ;10  ;10  ;10  ;38  ;38  
     108   8  1;3; ;11 0;10  ;10  ;18  ;11 0;11 0;10  ;20  ;20  ;30  ;11 0;28  ;10  ;11 0;18  ;11 0;10  ;10  ;38  ;38  
     108  14  2;3; ;11 0;11 0;11 0;18  ;11 0;11 0;11 0;21 0;21 0;30  ;11 0;28  ;10  ;11 0;18  ;11 0;10  ;11 0;38  ;38  
     108  16  1;3; ;11 0;10  ;11 0;18  ;11 0;10  ;10  ;21 0;21 0;30  ;11 0;28  ;10  ;11 0;18  ;11 0;10  ;11 0;38  ;38  
     108  22  3;0; ;10  ;10  ;10  ;18  ;10  ;10  ;10  ;20  ;20  ;30  ;10  ;28  ;10  ;10  ;18  ;10  ;10  ;10  ;38  ;38  
     108  24  1;3; ;11 0;10  ;11 1;18  ;11 0;11 0;10  ;20  ;20  ;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
     109   2  1;3; ;11 0;11 0;11 0;18  ;11 1;11 0;10  ;21 0;21 0;30  ;11 0;28  ;10  ;11 0;18  ;11 0;10  ;10  ;38  ;38  
     109   4  1;3; ;11 0;10  ;11 0;18  ;11 0;10  ;10  ;20  ;20  ;30  ;11 0;28  ;10  ;10  ;18  ;10  ;10  ;10  ;38  ;38  
     109   8  1;3; ;11 0;11 0;11 0;18  ;11 0;11 0;11 0;20  ;21 0;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
     109  10  2;3; ;11 0;10  ;11 0;18  ;11 0;10  ;10  ;20  ;21 0;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
     109  14  1;3; ;11 0;11 0;11 0;18  ;11 0;11 0;11 0;21 0;21 0;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
     109  18  1;3; ;11 0;11 0;11 0;18  ;11 0;11 0;11 0;21 0;21 0;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
     109  20  1;3; ;11 0;10  ;11 0;18  ;11 0;10  ;10  ;21 0;20  ;30  ;11 0;28  ;11 0;11 0;18  ;10  ;10  ;10  ;38  ;38  
     109  26  1;3; ;11 0;10  ;11 0;18  ;11 0;10  ;10  ;21 0;20  ;30  ;11 0;28  ;10  ;10  ;18  ;10  ;10  ;10  ;38  ;38  
     110   1  3;3; ;11 0;10  ;11 0;18  ;11 0;10  ;10  ;21 0;20  ;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
     110   1  6;3; ;11 0;11 0;11 0;18  ;11 0;10  ;10  ;20  ;20  ;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;11 0;38  ;38  
     110   1  7;3; ;11 0;10  ;11 0;18  ;11 0;10  ;10  ;20  ;20  ;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
     110   3  3;3; ;11 0;10  ;11 0;18  ;11 0;10  ;10  ;20  ;20  ;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
     110  13  1;3; ;11 0;10  ;11 0;18  ;11 0;10  ;10  ;20  ;20  ;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
     110  19  5;3; ;11 0;10  ;11 0;18  ;11 0;10  ;10  ;21 0;20  ;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;11 0;38  ;38  
     110  21  2;3; ;10  ;10  ;11 0;18  ;11 0;10  ;10  ;21 0;20  ;30  ;10  ;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
     110  23  1;3; ;11 0;10  ;11 0;18  ;11 0;10  ;10  ;20  ;20  ;30  ;10  ;28  ;10  ;10  ;18  ;10  ;10  ;10  ;38  ;38  
     110  25  1;3; ;11 0;11 0;11 0;18  ;11 0;10  ;10  ;20  ;20  ;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
     111   2  1;3; ;11 0;10  ;11 0;18  ;11 0;11 0;10  ;20  ;20  ;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
     111   6  2;3; ;11 0;11 0;11 0;18  ;11 0;11 0;10  ;20  ;21 0;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
     111   6  3;3; ;11 0;10  ;11 0;18  ;11 0;11 0;10  ;20  ;20  ;30  ;11 0;28  ;10  ;10  ;18  ;10  ;10  ;10  ;38  ;38  
     111   6  4;3; ;11 0;11 0;11 0;18  ;11 0;10  ;11 0;20  ;21 0;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
     111  14  1;3; ;11 0;11 0;11 0;18  ;11 0;10  ;10  ;20  ;21 0;30  ;11 0;28  ;10  ;10  ;18  ;10  ;10  ;10  ;38  ;38  
     111  16  1;3; ;11 0;11 0;11 0;18  ;11 0;11 0;11 0;20  ;21 0;30  ;11 0;28  ;10  ;11 0;18  ;11 0;11 0;10  ;38  ;38  
     111  18  1;3; ;11 0;11 0;11 0;18  ;11 0;11 0;10  ;20  ;21 0;30  ;11 0;28  ;10  ;11 0;18  ;11 0;10  ;10  ;38  ;38  
     111  22  1;3; ;11 0;10  ;11 0;18  ;10  ;11 0;10  ;20  ;21 0;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
     111  22  4;3; ;11 0;10  ;11 0;18  ;11 0;11 0;10  ;20  ;20  ;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
     111  24  1;3; ;11 0;11 0;11 0;18  ;11 0;11 0;10  ;20  ;20  ;30  ;11 0;28  ;10  ;10  ;18  ;10  ;10  ;10  ;38  ;38  
     112   2  9;3; ;10  ;10  ;10  ;18  ;10  ;10  ;10  ;20  ;20  ;30  ;10  ;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
     112   2 10;3; ;11 0;10  ;11 0;18  ;11 0;10  ;10  ;20  ;20  ;30  ;11 0;28  ;10  ;10  ;18  ;10  ;10  ;10  ;38  ;38  
     112   2 11;3; ;11 0;10  ;11 0;18  ;11 0;10  ;10  ;20  ;20  ;30  ;11 0;28  ;10  ;10  ;18  ;10  ;10  ;10  ;38  ;38  
     112   4  1;3; ;10  ;10  ;10  ;18  ;11 0;10  ;10  ;20  ;20  ;30  ;10  ;28  ;10  ;10  ;18  ;10  ;10  ;10  ;38  ;38  
     112   6  1;3; ;11 0;11 0;11 0;18  ;11 0;11 0;10  ;20  ;21 0;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
     112   8  1;3; ;11 0;11 0;11 0;18  ;11 0;11 0;10  ;21 0;21 0;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
     112   8  3;3; ;11 0;11 0;11 0;18  ;11 0;11 0;10  ;20  ;21 0;30  ;11 0;28  ;10  ;10  ;18  ;10  ;10  ;10  ;38  ;38  
     112  12  1;3; ;11 0;11 0;11 0;18  ;11 0;11 0;11 0;21 0;21 0;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
     112  14  1;3; ;11 0;11 0;11 0;18  ;11 0;11 0;10  ;21 0;21 0;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
     112  16  2;3; ;10  ;11 0;11 0;18  ;11 0;11 0;10  ;20  ;21 0;30  ;10  ;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
     112  20  1;3; ;11 0;10  ;11 0;18  ;11 0;10  ;10  ;20  ;20  ;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
     112  24  1;3; ;10  ;10  ;10  ;18  ;11 0;10  ;10  ;20  ;20  ;30  ;10  ;28  ;10  ;10  ;18  ;10  ;10  ;10  ;38  ;38  
     113   7  1;3; ;11 0;10  ;11 0;18  ;11 0;10  ;10  ;21 0;21 0;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
     113  11  1;3; ;11 0;10  ;11 0;18  ;11 0;10  ;10  ;21 0;21 0;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
     113  11  2;3; ;11 0;10  ;11 0;18  ;11 1;10  ;10  ;21 0;21 0;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
     113  11  3;3; ;11 0;10  ;11 0;18  ;11 0;10  ;10  ;21 0;21 0;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
     113  15  4;3; ;11 0;10  ;11 0;18  ;11 0;10  ;10  ;21 0;21 0;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
     113  15  7;3; ;11 0;10  ;11 0;18  ;11 0;10  ;10  ;21 0;21 0;30  ;11 0;28  ;10  ;11 0;18  ;11 0;10  ;10  ;38  ;38  
     113  19  1;3; ;11 0;11 0;11 0;18  ;11 0;11 0;10  ;21 0;21 0;30  ;11 0;28  ;10  ;11 0;18  ;11 0;10  ;10  ;38  ;38  
     113  23  2;3; ;11 0;11 0;11 0;18  ;11 1;11 0;11 0;21 0;21 0;30  ;11 0;28  ;10  ;11 0;18  ;11 0;10  ;10  ;38  ;38  
     113  27  2;3; ;11 0;10  ;11 0;18  ;11 0;10  ;11 0;20  ;21 0;30  ;11 0;28  ;10  ;11 0;18  ;11 0;10  ;10  ;38  ;38  
     113  27  3;3; ;11 0;11 0;11 0;18  ;11 0;11 0;10  ;21 0;21 0;30  ;11 0;28  ;10  ;11 0;18  ;11 0;10  ;10  ;38  ;38  
     113  27  6;3; ;11 0;10  ;11 0;18  ;11 1;11 0;10  ;21 0;21 0;30  ;11 0;28  ;10  ;11 0;18  ;11 0;10  ;10  ;38  ;38  
     113  31  1;3; ;11 0;11 0;11 0;18  ;11 0;11 0;10  ;21 0;21 0;30  ;11 0;28  ;10  ;11 0;18  ;11 0;10  ;10  ;38  ;38  
     113  36 13;3; ;11 0;10  ;11 0;18  ;11 0;11 0;10  ;20  ;21 0;30  ;11 0;28  ;10  ;10  ;18  ;10  ;10  ;10  ;38  ;38  
     113  44  1;3; ;11 0;11 0;11 0;18  ;11 1;11 0;10  ;21 0;21 0;30  ;11 0;28  ;10  ;11 0;18  ;11 0;10  ;10  ;38  ;38  
     113  52  1;3; ;11 0;10  ;11 0;18  ;11 1;10  ;10  ;20  ;21 0;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
     113  52  3;3; ;11 0;10  ;11 1;18  ;11 0;11 0;11 0;21 0;21 0;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
     114   2  1;3; ;11 0;11 0;11 0;18  ;11 0;11 0;11 0;20  ;20  ;30  ;11 1;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
     114  19  1;3; ;11 0;11 0;11 0;18  ;11 0;11 0;11 0;21 0;20  ;30  ;11 0;28  ;10  ;11 0;18  ;11 0;10  ;11 0;38  ;38  
     114  28  1;3; ;11 0;10  ;11 0;18  ;11 0;11 0;10  ;20  ;20  ;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
     114  28  3;3; ;11 0;10  ;11 0;18  ;11 0;11 0;10  ;21 0;21 0;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
     114  53  1;3; ;11 0;11 0;11 0;18  ;11 1;11 0;10  ;21 0;21 0;30  ;11 0;28  ;10  ;11 0;18  ;11 0;10  ;11 0;38  ;38  
     114  62  1;3; ;11 0;10  ;11 0;18  ;11 0;11 0;10  ;21 0;21 0;30  ;11 0;28  ;10  ;11 0;18  ;11 0;10  ;10  ;38  ;38  
     114  62  4;3; ;11 0;10  ;11 0;18  ;11 0;11 0;10  ;20  ;20  ;30  ;11 0;28  ;10  ;11 0;18  ;11 0;10  ;11 0;38  ;38  
     114  70  1;3; ;11 0;10  ;11 0;18  ;11 0;10  ;10  ;20  ;20  ;30  ;11 0;28  ;11 0;11 0;18  ;10  ;10  ;10  ;38  ;38  
     114  79  3;3; ;11 0;10  ;11 0;18  ;11 0;10  ;10  ;21 0;21 0;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
     114  79  4;3; ;11 0;10  ;10  ;18  ;11 0;10  ;11 0;20  ;20  ;30  ;11 0;28  ;10  ;11 0;18  ;11 0;10  ;10  ;38  ;38  
     115  19  1;3; ;11 0;10  ;11 0;18  ;11 1;11 0;11 0;20  ;21 0;30  ;11 0;28  ;10  ;11 0;18  ;11 0;10  ;10  ;38  ;38  
     115  29  4;3; ;11 0;10  ;11 0;18  ;11 0;10  ;10  ;20  ;20  ;30  ;11 0;28  ;10  ;10  ;18  ;10  ;10  ;10  ;38  ;38  
     115  40  1;3; ;11 0;11 0;11 0;18  ;11 0;11 0;11 0;21 0;21 0;30  ;11 0;28  ;11 0;11 0;18  ;11 0;10  ;10  ;38  ;38  
     115  51  3;3; ;11 0;10  ;11 0;18  ;11 1;10  ;10  ;20  ;20  ;30  ;11 0;28  ;10  ;10  ;18  ;10  ;10  ;10  ;38  ;38  
     115  51  6;3; ;10  ;10  ;10  ;18  ;11 0;10  ;10  ;20  ;20  ;30  ;11 0;28  ;10  ;10  ;18  ;10  ;10  ;10  ;38  ;38  
     115  51  7;3; ;11 0;10  ;11 0;18  ;11 0;10  ;10  ;20  ;20  ;30  ;11 0;28  ;10  ;10  ;18  ;10  ;10  ;10  ;38  ;38  
     115  51  9;3; ;11 0;10  ;11 0;18  ;11 0;10  ;10  ;20  ;20  ;30  ;11 0;28  ;10  ;10  ;18  ;10  ;10  ;10  ;38  ;38  
     115  51 19;3; ;10  ;11 0;11 0;18  ;11 0;10  ;11 0;20  ;20  ;30  ;11 0;28  ;10  ;10  ;18  ;10  ;10  ;10  ;38  ;38  
     115  62  1;3; ;11 0;10  ;11 0;18  ;11 0;10  ;10  ;20  ;20  ;30  ;11 0;28  ;10  ;10  ;18  ;10  ;10  ;10  ;38  ;38  
     115  72  1;3; ;11 0;10  ;11 0;18  ;11 0;10  ;10  ;20  ;20  ;30  ;11 0;28  ;10  ;10  ;18  ;10  ;10  ;10  ;38  ;38  
     115  72  3;3; ;11 0;10  ;11 0;18  ;11 0;10  ;10  ;20  ;20  ;30  ;11 0;28  ;10  ;10  ;18  ;10  ;10  ;10  ;38  ;38  
     115 105  1;3; ;11 0;10  ;11 0;18  ;11 1;10  ;10  ;20  ;21 0;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
     115 115  3;3; ;11 0;11 0;11 0;18  ;11 1;11 0;10  ;20  ;20  ;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
     115 115  6;3; ;11 0;10  ;10  ;18  ;11 0;10  ;11 0;20  ;20  ;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
     115 115  9;3; ;10  ;10  ;10  ;18  ;11 0;10  ;10  ;20  ;20  ;30  ;10  ;28  ;10  ;10  ;18  ;10  ;10  ;10  ;38  ;38  
     115 126  1;3; ;11 0;10  ;11 0;18  ;11 0;10  ;10  ;20  ;20  ;30  ;11 0;28  ;10  ;10  ;18  ;10  ;10  ;10  ;38  ;38  
     115 126  3;3; ;11 0;11 0;11 0;18  ;11 0;11 0;11 0;20  ;21 0;30  ;11 0;28  ;10  ;11 0;18  ;11 0;10  ;10  ;38  ;38  
     115 137  1;3; ;11 0;11 0;11 0;18  ;11 0;11 0;11 0;21 0;21 0;30  ;11 0;28  ;10  ;11 0;18  ;11 0;10  ;10  ;38  ;38  
     116   1  1;3; ;11 0;11 0;11 0;18  ;11 0;11 0;11 0;21 0;21 0;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
     116  10  1;3; ;11 0;10  ;11 0;18  ;11 0;10  ;10  ;20  ;21 0;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
     116  27  1;3; ;11 0;10  ;11 1;18  ;11 0;11 0;11 0;21 0;21 0;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
     116  35  1;3; ;11 0;10  ;11 0;18  ;11 0;11 0;10  ;20  ;21 0;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
     116  44  1;3; ;11 0;10  ;11 1;18  ;11 0;11 0;11 0;21 0;21 0;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
     116  52  3;3; ;11 0;11 0;11 0;18  ;11 0;11 0;11 0;21 0;21 0;30  ;11 0;28  ;10  ;11 0;18  ;11 0;10  ;10  ;38  ;38  
     116  52  4;3; ;11 0;11 0;11 0;18  ;11 0;11 0;10  ;21 0;21 0;30  ;11 0;28  ;11 0;11 0;18  ;11 0;10  ;10  ;38  ;38  
