MCASEID;MV301;MV302;MREC31_GROUP_01;MREC31_GROUP_02;MREC31_GROUP_03;MREC31_GROUP_04;MREC31_GROUP_05;MREC31_GROUP_06;MREC31_GROUP_07;MREC31_GROUP_08;MREC31_GROUP_09;MREC31_GROUP_10;MREC31_GROUP_11;MREC31_GROUP_12;MREC31_GROUP_13;MREC31_GROUP_14;MREC31_GROUP_15;MREC31_GROUP_16;MREC31_GROUP_17;MREC31_GROUP_18;MREC31_GROUP_19;MREC31_GROUP_20
       9  11  7;3; ;11 0;11 0;11 0;18  ;11 0;10  ;10  ;21 0;21 0;30  ;11 0;28  ;11 0;11 0;18  ;11 0;10  ;11 0;38  ;38  
       9  11  8;3; ;11 0;10  ;11 0;18  ;11 0;10  ;10  ;21 0;21 0;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;11 0;38  ;38  
       9  21  1;3; ;11 0;10  ;11 0;18  ;11 0;10  ;10  ;21 0;21 0;31 0;11 0;28  ;10  ;11 0;18  ;10  ;10  ;11 0;38  ;38  
       9  31  3;3; ;10  ;10  ;10  ;18  ;11 0;10  ;10  ;21 0;20  ;30  ;10  ;28  ;10  ;10  ;18  ;10  ;10  ;10  ;38  ;38  
       9  31  4;3; ;10  ;10  ;10  ;18  ;11 0;10  ;10  ;21 0;20  ;30  ;10  ;28  ;10  ;10  ;18  ;10  ;10  ;10  ;38  ;38  
       9  31  5;3; ;10  ;10  ;10  ;18  ;11 0;10  ;10  ;21 0;20  ;30  ;10  ;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
       9  51  1;3; ;11 1;10  ;11 1;18  ;11 0;10  ;10  ;21 0;21 0;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;11 0;38  ;38  
       9  80  1;3; ;11 0;10  ;11 0;18  ;11 0;10  ;10  ;21 0;20  ;31 0;11 0;28  ;10  ;11 0;18  ;10  ;10  ;11 0;38  ;38  
       9  80  3;3; ;10  ;10  ;10  ;18  ;11 0;10  ;10  ;20  ;20  ;30  ;10  ;28  ;10  ;10  ;18  ;10  ;10  ;10  ;38  ;38  
       9  90  3;3; ;11 0;10  ;11 0;18  ;11 1;10  ;10  ;21 0;21 0;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;11 0;38  ;38  
       9 100  1;3; ;11 0;11 0;11 0;18  ;11 0;11 0;11 0;21 0;20  ;31 0;11 0;28  ;10  ;11 0;18  ;10  ;10  ;11 0;38  ;38  
       9 110  1;3; ;11 0;10  ;11 0;18  ;11 0;10  ;10  ;21 0;20  ;31 0;11 0;28  ;10  ;11 0;18  ;10  ;10  ;11 0;38  ;38  
      10   7  4;3; ;11 0;10  ;11 0;18  ;11 1;10  ;10  ;21 0;21 0;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;11 0;38  ;38  
      10  15  1;3; ;11 0;10  ;11 0;18  ;11 0;10  ;10  ;21 0;21 0;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
      10  31  3;3; ;10  ;10  ;10  ;18  ;11 0;10  ;10  ;20  ;20  ;30  ;10  ;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
      10  38  1;3; ;11 0;10  ;11 1;18  ;11 0;11 0;10  ;21 0;20  ;31 0;11 0;28  ;10  ;11 0;18  ;10  ;10  ;11 0;38  ;38  
      10  62  2;3; ;11 0;11 0;11 0;18  ;11 0;11 0;11 0;21 0;21 0;30  ;11 0;28  ;10  ;11 0;18  ;11 0;10  ;11 0;38  ;38  
      10  69  1;3; ;11 0;10  ;11 1;18  ;11 0;10  ;10  ;21 0;21 0;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;11 0;38  ;38  
      10  85  2;3; ;10  ;10  ;10  ;18  ;11 0;10  ;10  ;21 0;20  ;30  ;10  ;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
      10 101  1;3; ;11 0;10  ;11 0;18  ;11 0;11 0;10  ;20  ;21 0;30  ;11 0;28  ;10  ;11 0;18  ;11 0;10  ;10  ;38  ;38  
      11  10  1;3; ;11 0;11 0;11 0;18  ;11 0;11 0;11 0;21 0;20  ;31 0;11 0;28  ;10  ;11 0;18  ;10  ;10  ;11 0;38  ;38  
      11  20  1;3; ;11 0;10  ;11 0;18  ;11 0;10  ;10  ;21 0;20  ;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;11 1;38  ;38  
      11  40  1;3; ;11 0;11 0;11 0;18  ;11 0;11 0;11 0;21 0;20  ;31 0;11 0;28  ;10  ;11 0;18  ;10  ;10  ;11 0;38  ;38  
      11  51  2;3; ;11 0;10  ;11 0;18  ;11 0;10  ;10  ;21 0;21 0;31 0;11 0;28  ;11 0;11 0;18  ;10  ;10  ;11 0;38  ;38  
      11  61  1;3; ;11 0;10  ;11 0;18  ;11 0;10  ;10  ;21 0;20  ;30  ;11 0;28  ;11 0;11 0;18  ;10  ;10  ;11 0;38  ;38  
      11  71  2;3; ;11 0;10  ;11 0;18  ;11 0;10  ;10  ;21 0;20  ;31 0;11 0;28  ;10  ;11 0;18  ;10  ;10  ;11 0;38  ;38  
      11  71  7;3; ;10  ;10  ;10  ;18  ;11 0;10  ;10  ;21 0;20  ;30  ;10  ;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
      11  82  1;3; ;11 0;10  ;11 1;18  ;11 0;10  ;10  ;21 0;20  ;31 0;11 0;28  ;10  ;11 0;18  ;10  ;10  ;11 0;38  ;38  
      11 102  1;3; ;11 0;10  ;11 0;18  ;11 0;10  ;10  ;21 0;21 0;31 0;11 0;28  ;10  ;11 0;18  ;10  ;10  ;11 0;38  ;38  
      11 113  1;3; ;11 0;11 0;11 1;18  ;11 0;11 0;11 0;21 0;21 0;31 0;11 0;28  ;11 0;11 0;18  ;10  ;10  ;11 0;38  ;38  
      11 113  4;3; ;11 0;11 0;11 0;18  ;11 1;11 0;11 0;21 0;21 0;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;11 0;38  ;38  
      11 113  5;3; ;10  ;10  ;10  ;18  ;11 0;10  ;10  ;21 0;20  ;30  ;10  ;28  ;10  ;11 0;18  ;10  ;10  ;11 0;38  ;38  
      11 123  1;3; ;11 1;11 0;11 0;18  ;11 0;11 0;11 0;21 0;21 0;31 0;11 0;28  ;11 0;11 0;18  ;11 0;10  ;11 0;38  ;38  
      11 133  1;3; ;11 0;11 0;11 0;18  ;11 0;11 0;11 0;21 0;21 0;30  ;11 0;28  ;11 0;11 0;18  ;11 0;10  ;11 0;38  ;38  
      12   2  1;3; ;11 0;11 0;11 0;18  ;11 1;10  ;10  ;21 0;21 0;30  ;11 0;28  ;11 0;11 0;18  ;11 0;10  ;11 0;38  ;38  
      12  10  1;3; ;11 0;10  ;11 0;18  ;11 0;11 0;10  ;20  ;20  ;31 0;11 0;28  ;10  ;11 0;18  ;11 0;10  ;11 0;38  ;38  
      12  18  3;3; ;11 0;11 0;11 0;18  ;11 0;11 0;10  ;21 0;20  ;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;11 0;38  ;38  
      12  18 13;3; ;11 1;11 0;11 0;18  ;11 0;10  ;10  ;20  ;21 0;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
