MCASEID;MMTH1;MMTH2;MMTH3;MMTH4;MMTH5;MMTH6;MMTH7;MMTH8;MMTH9;MMTH10;MMTH11;MMTH12;MMTH13;MMTH14;MMTH15;MMTH16;MMTH17;MMTH18A;MMTH18B;MMTH18C;MMTH18D;MMTH18E;MMTH18F;MMTH18G;MMTH18H;MMTH18I;MMTH18J;MMTH18K;MMTH18L;MMTH18M;MMTH18N;MMTH18O;MMTH18P;MMTH18X;MMTH19;MMTH20;MMTH21;MMTH22;MMTH23;MMTH24
       5 143  1;1;0;1;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ;0;0;0;0; 3;2; 2
       6  13  3;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0; ; ; ; ; ; ; ;0;0;0;0; 2;2; 2
       6  55  4;0;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0;1;0;0;0;0;0;0;1;1;0; ; ; ; ; ; ; ;0;0;0;0; 4;2; 0
       6  63  1;2;0;2;1;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0; ; ; ; ; ; ; ;0;0;0;0; 2;2; 6
       6  84  2;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0; ; ; ; ; ; ; ;0;0;0;0; 1;2; 1
       7   5  1;0;0;2;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0; ; ; ; ; ; ; ;0;0;0;0; 2;2; 2
       7  30  1;2;0;1;0;0;1;0;0;2;0;0;0;2;0;0;0;1;0;0;0;0;0;1;0;0;0; ; ; ; ; ; ; ;0;0;0;0; 4;2; 4
       7  37  3;0;0;1;0;0;0;0;0;1;2;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0; ; ; ; ; ; ; ;0;0;0;0; 4;2; 1
       7  37  5;1;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0; ; ; ; ; ; ; ;0;0;0;0; 3;2; 1
       7  43  2;2;1;1;1;1;2;1;1;2;1;1;1;2;0;1;1;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ;0;0;0;0;10;1; 9
       7  63  3;0;0;2;1;2;0;1;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ;0;0;0;0; 4;2; 6
       7  69  8;2;0;0;0;0;0;2;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0; ; ; ; ; ; ; ;0;0;0;0; 2;2; 4
       7  76  1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ;0;0;0;0; 0;2; 0
       8   1  1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ;0;0;0;0; 1;2; 0
       8   1  3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ;0;0;0;0; 1;2; 0
       8  13  1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ;0;0;0;0; 2;2; 0
       8  36  1;0;0;0;0;0;0;0;0;2;0;2;1;3;0;2;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ;0;0;0;0;10;1; 0
       8  83  1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ;0;0;0;0; 2;2; 1
       8  95  1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ;0;0;0;0; 0;2; 2
       8 107  2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;1;0; ; ; ; ; ; ; ;0;0;0;0; 1;2; 2
       8 107  6;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ;0;0;0;0; 0;2; 4
       8 118  7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ;0;0;0;0; 0;2; 0
       8 130  3;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;1;1;0; ; ; ; ; ; ; ;0;0;0;0; 2;2; 0
       9   1  1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ;0;0;0;0; 1;2; 0
